occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Total, all occupations;"=""00-0000""";12939.5;13049.5;0.8;110.0
Management occupations;"=""11-0000""";857.7;889.8;3.7;32.0
Top executives;"=""11-1000""";273.6;279.5;2.1;5.8
Chief executives;"=""11-1011""";12.7;13.1;3.2;0.4
General and operations managers;"=""11-1021""";260.9;266.4;2.1;5.4
Advertising, marketing, promotions, public relations, and sales managers;"=""11-2000""";94.0;97.5;3.7;3.5
Advertising and promotions managers;"=""11-2011""";0.5;0.5;-13.0;-0.1
Marketing and sales managers;"=""11-2020""";91.6;95.1;3.8;3.5
Marketing managers;"=""11-2021""";29.6;30.9;4.5;1.3
Sales managers;"=""11-2022""";62.0;64.2;3.5;2.2
Public relations and fundraising managers;"=""11-2030""";1.9;2.0;4.8;0.1
Public relations managers;"=""11-2032""";1.8;1.9;4.8;0.1
Operations specialties managers;"=""11-3000""";356.0;372.8;4.7;16.8
Administrative services and facilities managers;"=""11-3010""";27.5;28.2;2.7;0.7
Administrative services managers;"=""11-3012""";11.6;11.9;2.6;0.3
Facilities managers;"=""11-3013""";15.9;16.3;2.7;0.4
Computer and information systems managers;"=""11-3021""";41.9;46.5;10.8;4.5
Financial managers;"=""11-3031""";48.4;54.7;13.1;6.3
Industrial production managers;"=""11-3051""";168.9;172.1;1.9;3.2
Purchasing managers;"=""11-3061""";20.3;20.8;2.5;0.5
Transportation, storage, and distribution managers;"=""11-3071""";25.1;26.0;3.7;0.9
Compensation and benefits managers;"=""11-3111""";0.9;0.9;-1.7;0.0
Human resources managers;"=""11-3121""";20.4;21.0;2.7;0.6
Training and development managers;"=""11-3131""";2.5;2.6;3.7;0.1
Other management occupations;"=""11-9000""";134.2;140.0;4.3;5.8
Farmers, ranchers, and other agricultural managers;"=""11-9013""";0.3;0.4;15.2;0.0
Construction managers;"=""11-9021""";2.3;2.5;8.2;0.2
Architectural and engineering managers;"=""11-9041""";75.0;77.8;3.6;2.7
Food service managers;"=""11-9051""";0.9;1.1;20.1;0.2
Medical and health services managers;"=""11-9111""";2.0;2.5;26.8;0.5
Natural sciences managers;"=""11-9121""";7.9;8.3;5.5;0.4
Property, real estate, and community association managers;"=""11-9141""";0.3;0.3;4.3;0.0
Emergency management directors;"=""11-9161""";0.3;0.3;-0.2;0.0
Personal service managers;"=""11-9170""";0.1;0.1;6.0;0.0
Managers, all other;"=""11-9199""";45.0;46.7;3.7;1.7
Business and financial operations occupations;"=""13-0000""";655.6;686.1;4.7;30.6
Business operations specialists;"=""13-1000""";537.9;565.4;5.1;27.5
Buyers and purchasing agents;"=""13-1020""";114.7;123.6;7.7;8.8
Claims adjusters, appraisers, examiners, and investigators;"=""13-1030""";0.1;0.0;-7.3;0.0
Claims adjusters, examiners, and investigators;"=""13-1031""";0.1;0.0;-7.3;0.0
Compliance officers;"=""13-1041""";20.8;21.8;4.9;1.0
Cost estimators;"=""13-1051""";26.4;24.6;-6.9;-1.8
Human resources workers;"=""13-1070""";67.6;69.0;2.1;1.4
Human resources specialists;"=""13-1071""";66.7;68.1;2.1;1.4
Labor relations specialists;"=""13-1075""";0.9;0.9;0.6;0.0
Logisticians and project management specialists;"=""13-1080""";129.3;139.6;7.9;10.3
Logisticians;"=""13-1081""";54.4;62.7;15.3;8.3
Project management specialists;"=""13-1082""";74.9;76.8;2.6;2.0
Management analysts;"=""13-1111""";20.1;20.7;2.8;0.6
Meeting, convention, and event planners;"=""13-1121""";2.8;3.3;16.3;0.5
Fundraisers;"=""13-1131""";0.1;0.1;7.4;0.0
Compensation, benefits, and job analysis specialists;"=""13-1141""";3.7;3.8;3.1;0.1
Training and development specialists;"=""13-1151""";29.3;31.6;7.8;2.3
Market research analysts and marketing specialists;"=""13-1161""";51.3;53.5;4.4;2.3
