tot_emp;h_mean;a_mean;sector
154187380.0;3266.0;67920.0;Cross-industry
10966830.0;6815.0;141760.0;Cross-industry
3822780.0;6724.0;139860.0;Cross-industry
211850.0;12641.0;262930.0;Cross-industry
211850.0;12641.0;262930.0;Cross-industry
3584420.0;6400.0;133120.0;Cross-industry
3584420.0;6400.0;133120.0;Cross-industry
26510.0;;67390.0;Cross-industry
26510.0;;67390.0;Cross-industry
1122770.0;7872.0;163740.0;Cross-industry
21100.0;7176.0;149270.0;Cross-industry
21100.0;7176.0;149270.0;Cross-industry
988680.0;7935.0;165050.0;Cross-industry
384980.0;8246.0;171520.0;Cross-industry
603710.0;7737.0;160930.0;Cross-industry
112980.0;7449.0;154950.0;Cross-industry
76060.0;7861.0;163520.0;Cross-industry
36920.0;6601.0;137290.0;Cross-industry
2669000.0;7721.0;160590.0;Cross-industry
395230.0;5862.0;121920.0;Cross-industry
254140.0;6059.0;126030.0;Cross-industry
141090.0;5506.0;114520.0;Cross-industry
645970.0;9038.0;187990.0;Cross-industry
645970.0;9038.0;187990.0;Cross-industry
818620.0;8676.0;180470.0;Cross-industry
818620.0;8676.0;180470.0;Cross-industry
234380.0;6211.0;129180.0;Cross-industry
234380.0;6211.0;129180.0;Cross-industry
81240.0;7242.0;150630.0;Cross-industry
81240.0;7242.0;150630.0;Cross-industry
213000.0;5577.0;116010.0;Cross-industry
213000.0;5577.0;116010.0;Cross-industry
20070.0;7511.0;156230.0;Cross-industry
20070.0;7511.0;156230.0;Cross-industry
215520.0;7715.0;160480.0;Cross-industry
215520.0;7715.0;160480.0;Cross-industry
44960.0;6759.0;140590.0;Cross-industry
44960.0;6759.0;140590.0;Cross-industry
3352280.0;5844.0;121560.0;Cross-industry
5910.0;4675.0;97240.0;Cross-industry
5910.0;4675.0;97240.0;Cross-industry
348330.0;5753.0;119660.0;Cross-industry
348330.0;5753.0;119660.0;Cross-industry
621000.0;5263.0;109470.0;Cross-industry
71620.0;3012.0;62640.0;Cross-industry
319630.0;;113360.0;Cross-industry
176420.0;5983.0;124450.0;Cross-industry
53330.0;4782.0;99460.0;Cross-industry
210340.0;8448.0;175710.0;Cross-industry
210340.0;8448.0;175710.0;Cross-industry
244230.0;3479.0;72370.0;Cross-industry
244230.0;3479.0;72370.0;Cross-industry
41320.0;4268.0;88780.0;Cross-industry
4620.0;4927.0;102480.0;Cross-industry
36700.0;4186.0;87060.0;Cross-industry
41350.0;3724.0;77460.0;Cross-industry
41350.0;3724.0;77460.0;Cross-industry
565840.0;6622.0;137730.0;Cross-industry
565840.0;6622.0;137730.0;Cross-industry
100870.0;8341.0;173500.0;Cross-industry
100870.0;8341.0;173500.0;Cross-industry
13810.0;4508.0;93760.0;Cross-industry
13810.0;4508.0;93760.0;Cross-industry
296640.0;3977.0;82720.0;Cross-industry
296640.0;3977.0;82720.0;Cross-industry
195490.0;4139.0;86100.0;Cross-industry
195490.0;4139.0;86100.0;Cross-industry
12570.0;4697.0;97700.0;Cross-industry
12570.0;4697.0;97700.0;Cross-industry
23610.0;3797.0;78970.0;Cross-industry
13120.0;4118.0;85650.0;Cross-industry
10490.0;3395.0;70620.0;Cross-industry
630980.0;7206.0;149890.0;Cross-industry
630980.0;7206.0;149890.0;Cross-industry
10351440.0;4504.0;93680.0;Cross-industry
7318320.0;4376.0;91020.0;Cross-industry
14220.0;7962.0;165600.0;Cross-industry
14220.0;7962.0;165600.0;Cross-industry
486900.0;3929.0;81720.0;Cross-industry
486900.0;3929.0;81720.0;Cross-industry
312810.0;3785.0;78720.0;Cross-industry
305020.0;3787.0;78770.0;Cross-industry
7790.0;3704.0;77050.0;Cross-industry
397770.0;4086.0;84980.0;Cross-industry
397770.0;4086.0;84980.0;Cross-industry
219530.0;3998.0;83160.0;Cross-industry
219530.0;3998.0;83160.0;Cross-industry
982460.0;3888.0;80860.0;Cross-industry
917460.0;3833.0;79730.0;Cross-industry
410.0;2496.0;51910.0;Cross-industry
64590.0;4670.0;97130.0;Cross-industry
1241800.0;5010.0;104210.0;Cross-industry
235640.0;4212.0;87600.0;Cross-industry
1006160.0;5197.0;108100.0;Cross-industry
893900.0;5515.0;114710.0;Cross-industry
893900.0;5515.0;114710.0;Cross-industry
134670.0;3129.0;65090.0;Cross-industry
134670.0;3129.0;65090.0;Cross-industry
105930.0;3516.0;73130.0;Cross-industry
105930.0;3516.0;73130.0;Cross-industry
102370.0;3986.0;82920.0;Cross-industry
102370.0;3986.0;82920.0;Cross-industry
436610.0;3546.0;73760.0;Cross-industry
436610.0;3546.0;73760.0;Cross-industry
861140.0;4158.0;86480.0;Cross-industry
861140.0;4158.0;86480.0;Cross-industry
1128200.0;4441.0;92380.0;Cross-industry
1128200.0;4441.0;92380.0;Cross-industry
3033120.0;4812.0;100090.0;Cross-industry
1448290.0;4496.0;93520.0;Cross-industry
1448290.0;4496.0;93520.0;Cross-industry
59070.0;3710.0;77160.0;Cross-industry
59070.0;3710.0;77160.0;Cross-industry
47170.0;4515.0;93920.0;Cross-industry
47170.0;4515.0;93920.0;Cross-industry
67370.0;4714.0;98040.0;Cross-industry
67370.0;4714.0;98040.0;Cross-industry
775200.0;6174.0;128420.0;Cross-industry
340580.0;5601.0;116490.0;Cross-industry
270480.0;7702.0;160210.0;Cross-industry
107820.0;4367.0;90830.0;Cross-industry
56320.0;5766.0;119930.0;Cross-industry
62830.0;4983.0;103650.0;Cross-industry
62830.0;4983.0;103650.0;Cross-industry
318640.0;4008.0;83360.0;Cross-industry
28110.0;2687.0;55890.0;Cross-industry
290530.0;4135.0;86020.0;Cross-industry
127100.0;3006.0;62530.0;Cross-industry
53530.0;3249.0;67570.0;Cross-industry
73570.0;2830.0;58860.0;Cross-industry
127450.0;4514.0;93890.0;Cross-industry
127450.0;4514.0;93890.0;Cross-industry
5192890.0;5616.0;116810.0;Cross-industry
4786660.0;5614.0;116770.0;Cross-industry
677230.0;5583.0;116130.0;Cross-industry
497800.0;5383.0;111960.0;Cross-industry
179430.0;6141.0;127730.0;Cross-industry
38480.0;7323.0;152310.0;Cross-industry
38480.0;7323.0;152310.0;Cross-industry
843660.0;3247.0;67530.0;Cross-industry
146450.0;3827.0;79610.0;Cross-industry
697210.0;3125.0;64990.0;Cross-industry
633540.0;5569.0;115840.0;Cross-industry
177010.0;6533.0;135890.0;Cross-industry
73180.0;5165.0;107440.0;Cross-industry
64770.0;6857.0;142620.0;Cross-industry
318570.0;4865.0;101190.0;Cross-industry
2154370.0;6534.0;135910.0;Cross-industry
109870.0;4983.0;103640.0;Cross-industry
1654440.0;6950.0;144570.0;Cross-industry
199800.0;5301.0;110260.0;Cross-industry
78860.0;4750.0;98790.0;Cross-industry
111400.0;5358.0;111450.0;Cross-industry
439380.0;5611.0;116700.0;Cross-industry
439380.0;5611.0;116700.0;Cross-industry
406230.0;5634.0;117190.0;Cross-industry
28340.0;6490.0;134990.0;Cross-industry
28340.0;6490.0;134990.0;Cross-industry
2220.0;5891.0;122520.0;Cross-industry
2220.0;5891.0;122520.0;Cross-industry
107760.0;4766.0;99120.0;Cross-industry
107760.0;4766.0;99120.0;Cross-industry
29800.0;5401.0;112330.0;Cross-industry
29800.0;5401.0;112330.0;Cross-industry
233440.0;5990.0;124590.0;Cross-industry
233440.0;5990.0;124590.0;Cross-industry
4660.0;4072.0;84700.0;Cross-industry
4660.0;4072.0;84700.0;Cross-industry
2567210.0;4999.0;103980.0;Cross-industry
196590.0;4487.0;93330.0;Cross-industry
130720.0;4860.0;101090.0;Cross-industry
111140.0;4971.0;103390.0;Cross-industry
19580.0;4231.0;88000.0;Cross-industry
65870.0;3746.0;77920.0;Cross-industry
12790.0;3984.0;82860.0;Cross-industry
53080.0;3689.0;76730.0;Cross-industry
1746750.0;5613.0;116760.0;Cross-industry
68440.0;6788.0;141180.0;Cross-industry
68440.0;6788.0;141180.0;Cross-industry
1680.0;4050.0;84240.0;Cross-industry
1680.0;4050.0;84240.0;Cross-industry
21860.0;5530.0;115020.0;Cross-industry
21860.0;5530.0;115020.0;Cross-industry
20330.0;6175.0;128430.0;Cross-industry
20330.0;6175.0;128430.0;Cross-industry
355410.0;5147.0;107050.0;Cross-industry
355410.0;5147.0;107050.0;Cross-industry
75710.0;7537.0;156770.0;Cross-industry
75710.0;7537.0;156770.0;Cross-industry
282740.0;6000.0;124810.0;Cross-industry
188790.0;5816.0;120980.0;Cross-industry
93940.0;6370.0;132500.0;Cross-industry
37950.0;5316.0;110570.0;Cross-industry
37950.0;5316.0;110570.0;Cross-industry
373440.0;5205.0;108260.0;Cross-industry
23220.0;5470.0;113770.0;Cross-industry
350230.0;5187.0;107900.0;Cross-industry
8440.0;5610.0;116680.0;Cross-industry
8440.0;5610.0;116680.0;Cross-industry
22770.0;5595.0;116380.0;Cross-industry
22770.0;5595.0;116380.0;Cross-industry
286760.0;5292.0;110080.0;Cross-industry
286760.0;5292.0;110080.0;Cross-industry
6770.0;5237.0;108940.0;Cross-industry
6770.0;5237.0;108940.0;Cross-industry
14740.0;6489.0;134980.0;Cross-industry
14740.0;6489.0;134980.0;Cross-industry
18970.0;7383.0;153560.0;Cross-industry
18970.0;7383.0;153560.0;Cross-industry
150750.0;5852.0;121720.0;Cross-industry
150750.0;5852.0;121720.0;Cross-industry
623870.0;3439.0;71540.0;Cross-industry
185470.0;3402.0;70760.0;Cross-industry
