show_id,type,title,release_year,rating,duration,listed_in,duration_int,duration_type,genres,platform
s1,Movie,Dick Johnson Is Dead,2020,PG-13,90 min,Documentaries,90,min,['Documentary'],Netflix
s2,TV Show,Blood & Water,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",2,season,['International'],Netflix
s3,TV Show,Ganglands,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,season,['Action/Thriller'],Netflix
s4,TV Show,Jailbirds New Orleans,2021,TV-MA,1 Season,"Docuseries, Reality TV",1,season,['Documentary'],Netflix
s5,TV Show,Kota Factory,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",2,season,['International'],Netflix
s6,TV Show,Midnight Mass,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",1,season,['Drama'],Netflix
s7,Movie,My Little Pony: A New Generation,2021,PG,91 min,Children & Family Movies,91,min,['Kids'],Netflix
s8,Movie,Sankofa,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",125,min,['Drama'],Netflix
s9,TV Show,The Great British Baking Show,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",9,season,['International'],Netflix
s10,Movie,The Starling,2021,PG-13,104 min,"Comedies, Dramas",104,min,['Comedy'],Netflix
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",1,season,['Action/Thriller'],Netflix
s12,TV Show,Bangkok Breaking,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,season,['Action/Thriller'],Netflix
s13,Movie,Je Suis Karl,2021,TV-MA,127 min,"Dramas, International Movies",127,min,['Drama'],Netflix
s14,Movie,Confessions of an Invisible Girl,2021,TV-PG,91 min,"Children & Family Movies, Comedies",91,min,['Kids'],Netflix
s15,TV Show,Crime Stories: India Detectives,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,season,['International'],Netflix
s16,TV Show,Dear White People,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",4,season,['Comedy'],Netflix
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,67 min,"Documentaries, International Movies",67,min,['Documentary'],Netflix
s18,TV Show,Falsa identidad,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",2,season,['Action/Thriller'],Netflix
s19,Movie,Intrusion,2021,TV-14,94 min,Thrillers,94,min,['Action/Thriller'],Netflix
s20,TV Show,Jaguar,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1,season,['International'],Netflix
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",1,season,['Action/Thriller'],Netflix
s22,TV Show,Resurrection: Ertugrul,2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",5,season,['International'],Netflix
s23,Movie,Avvai Shanmughi,1996,TV-PG,161 min,"Comedies, International Movies",161,min,['Comedy'],Netflix
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,61 min,Children & Family Movies,61,min,['Kids'],Netflix
s25,Movie,Jeans,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",166,min,['Comedy'],Netflix
s26,TV Show,Love on the Spectrum,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",2,season,['Documentary'],Netflix
s27,Movie,Minsara Kanavu,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",147,min,['Comedy'],Netflix
s28,Movie,Grown Ups,2010,PG-13,103 min,Comedies,103,min,['Comedy'],Netflix
s29,Movie,Dark Skies,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",97,min,['Horror'],Netflix
s30,Movie,Paranoia,2013,PG-13,106 min,Thrillers,106,min,['Action/Thriller'],Netflix
s31,Movie,Ankahi Kahaniya,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",111,min,['Drama'],Netflix
s32,TV Show,Chicago Party Aunt,2021,TV-MA,1 Season,TV Comedies,1,season,['Comedy'],Netflix
s33,TV Show,Sex Education,2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",3,season,['International'],Netflix
s34,TV Show,Squid Game,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",1,season,['International'],Netflix
s35,TV Show,Tayo and Little Wizards,2020,TV-Y7,1 Season,Kids' TV,1,season,"['""Kids TV""']",Netflix
s36,Movie,The Father Who Moves Mountains,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",110,min,['Drama'],Netflix
s37,Movie,The Stronghold,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",105,min,['Action/Thriller'],Netflix
s38,TV Show,Angry Birds,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,season,"['""Kids TV""']",Netflix
s39,Movie,Birth of the Dragon,2017,PG-13,96 min,"Action & Adventure, Dramas",96,min,['Action/Thriller'],Netflix
s40,TV Show,Chhota Bheem,2021,TV-Y7,3 Seasons,Kids' TV,3,season,"['""Kids TV""']",Netflix
s41,TV Show,He-Man and the Masters of the Universe,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",1,season,"['""Kids TV""']",Netflix
s42,Movie,Jaws,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",124,min,['Action/Thriller'],Netflix
s43,Movie,Jaws 2,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",116,min,['Drama'],Netflix
s44,Movie,Jaws 3,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",98,min,['Action/Thriller'],Netflix
s45,Movie,Jaws: The Revenge,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",91,min,['Action/Thriller'],Netflix
s46,Movie,My Heroes Were Cowboys,2021,PG,23 min,Documentaries,23,min,['Documentary'],Netflix
s47,Movie,Safe House,2012,R,115 min,Action & Adventure,115,min,['Action/Thriller'],Netflix
