show_id,type,title,release_year,rating,duration,duration_int,duration_type,genres,platform
n1,Movie,Dick Johnson Is Dead,2020,PG-13,90 min,90,min,['Documentary'],Netflix
n2,TV Show,Blood & Water,2021,TV-MA,2 Seasons,2,season,['International'],Netflix
n3,TV Show,Ganglands,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n4,TV Show,Jailbirds New Orleans,2021,TV-MA,1 Season,1,season,['Documentary'],Netflix
n5,TV Show,Kota Factory,2021,TV-MA,2 Seasons,2,season,['International'],Netflix
n6,TV Show,Midnight Mass,2021,TV-MA,1 Season,1,season,['Drama'],Netflix
n7,Movie,My Little Pony: A New Generation,2021,PG,91 min,91,min,['Kids'],Netflix
n8,Movie,Sankofa,1993,TV-MA,125 min,125,min,['Drama'],Netflix
n9,TV Show,The Great British Baking Show,2021,TV-14,9 Seasons,9,season,['International'],Netflix
n10,Movie,The Starling,2021,PG-13,104 min,104,min,['Comedy'],Netflix
n11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n12,TV Show,Bangkok Breaking,2021,TV-MA,1 Season,1,season,['Action/Thriller'],Netflix
n13,Movie,Je Suis Karl,2021,TV-MA,127 min,127,min,['Drama'],Netflix
n14,Movie,Confessions of an Invisible Girl,2021,TV-PG,91 min,91,min,['Kids'],Netflix
n15,TV Show,Crime Stories: India Detectives,2021,TV-MA,1 Season,1,season,['International'],Netflix
n16,TV Show,Dear White People,2021,TV-MA,4 Seasons,4,season,['Comedy'],Netflix
n17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,67 min,67,min,['Documentary'],Netflix
n18,TV Show,Falsa identidad,2020,TV-MA,2 Seasons,2,season,['Action/Thriller'],Netflix
n19,Movie,Intrusion,2021,TV-14,94 min,94,min,['Action/Thriller'],Netflix
n20,TV Show,Jaguar,2021,TV-MA,1 Season,1,season,['International'],Netflix
n21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,1 Season,1,season,['Action/Thriller'],Netflix
n22,TV Show,Resurrection: Ertugrul,2018,TV-14,5 Seasons,5,season,['International'],Netflix
n23,Movie,Avvai Shanmughi,1996,TV-PG,161 min,161,min,['Comedy'],Netflix
n24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,61 min,61,min,['Kids'],Netflix
n25,Movie,Jeans,1998,TV-14,166 min,166,min,['Comedy'],Netflix
n26,TV Show,Love on the Spectrum,2021,TV-14,2 Seasons,2,season,['Documentary'],Netflix
n27,Movie,Minsara Kanavu,1997,TV-PG,147 min,147,min,['Comedy'],Netflix
n28,Movie,Grown Ups,2010,PG-13,103 min,103,min,['Comedy'],Netflix
n29,Movie,Dark Skies,2013,PG-13,97 min,97,min,['Horror'],Netflix
n30,Movie,Paranoia,2013,PG-13,106 min,106,min,['Action/Thriller'],Netflix
n31,Movie,Ankahi Kahaniya,2021,TV-14,111 min,111,min,['Drama'],Netflix
n32,TV Show,Chicago Party Aunt,2021,TV-MA,1 Season,1,season,['Comedy'],Netflix
n33,TV Show,Sex Education,2020,TV-MA,3 Seasons,3,season,['International'],Netflix
n34,TV Show,Squid Game,2021,TV-MA,1 Season,1,season,['International'],Netflix
n35,TV Show,Tayo and Little Wizards,2020,TV-Y7,1 Season,1,season,"['""Kids TV""']",Netflix
n36,Movie,The Father Who Moves Mountains,2021,TV-MA,110 min,110,min,['Drama'],Netflix
n37,Movie,The Stronghold,2021,TV-MA,105 min,105,min,['Action/Thriller'],Netflix
n38,TV Show,Angry Birds,2018,TV-Y7,1 Season,1,season,"['""Kids TV""']",Netflix
n39,Movie,Birth of the Dragon,2017,PG-13,96 min,96,min,['Action/Thriller'],Netflix
n40,TV Show,Chhota Bheem,2021,TV-Y7,3 Seasons,3,season,"['""Kids TV""']",Netflix
n41,TV Show,He-Man and the Masters of the Universe,2021,TV-Y7,1 Season,1,season,"['""Kids TV""']",Netflix
n42,Movie,Jaws,1975,PG,124 min,124,min,['Action/Thriller'],Netflix
n43,Movie,Jaws 2,1978,PG,116 min,116,min,['Drama'],Netflix
n44,Movie,Jaws 3,1983,PG,98 min,98,min,['Action/Thriller'],Netflix
n45,Movie,Jaws: The Revenge,1987,PG-13,91 min,91,min,['Action/Thriller'],Netflix
n46,Movie,My Heroes Were Cowboys,2021,PG,23 min,23,min,['Documentary'],Netflix
n47,Movie,Safe House,2012,R,115 min,115,min,['Action/Thriller'],Netflix
n48,TV Show,The Smart Money Woman,2020,TV-MA,1 Season,1,season,['International'],Netflix
n49,Movie,Training Day,2001,R,122 min,122,min,['Drama'],Netflix
n50,TV Show,Castle and Castle,2021,TV-MA,2 Seasons,2,season,['International'],Netflix
n51,TV Show,Dharmakshetra,2014,TV-PG,1 Season,1,season,['International'],Netflix
n52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,99 min,99,min,['Action/Thriller'],Netflix
n53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,TV-14,99 min,99,min,['Action/Thriller'],Netflix
n54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,TV-PG,88 min,88,min,['Action/Thriller'],Netflix
n55,Movie,InuYasha the Movie: Affections Touching Across Time,2001,TV-PG,100 min,100,min,['Action/Thriller'],Netflix
