company_location,company_name,company_size,industry
China,Smart Analytics,M,Automotive
Canada,TechCorp Inc,M,Media
Switzerland,Autonomous Tech,L,Education
India,Future Systems,M,Consulting
France,Advanced Robotics,S,Media
Germany,Neural Networks Co,M,Healthcare
United Kingdom,DataVision Ltd,S,Gaming
France,Cloud AI Solutions,L,Healthcare
Singapore,Quantum Computing Inc,L,Government
Austria,Cloud AI Solutions,M,Government
Sweden,Smart Analytics,M,Telecommunications
South Korea,TechCorp Inc,S,Manufacturing
France,Predictive Systems,M,Automotive
Norway,Cloud AI Solutions,S,Energy
Sweden,Advanced Robotics,M,Technology
United Kingdom,DataVision Ltd,L,Consulting
India,Predictive Systems,L,Real Estate
France,AI Innovations,L,Real Estate
Singapore,Algorithmic Solutions,M,Finance
Netherlands,AI Innovations,L,Transportation
Norway,AI Innovations,M,Telecommunications
United States,Cognitive Computing,M,Automotive
Germany,Quantum Computing Inc,S,Automotive
Austria,Cloud AI Solutions,M,Telecommunications
China,AI Innovations,S,Healthcare
Israel,DataVision Ltd,L,Government
Australia,TechCorp Inc,S,Media
Austria,Predictive Systems,M,Government
Ireland,Cognitive Computing,M,Healthcare
Israel,Future Systems,L,Retail
Netherlands,Advanced Robotics,M,Retail
Denmark,Cloud AI Solutions,M,Real Estate
Switzerland,Cognitive Computing,S,Real Estate
Finland,Predictive Systems,M,Education
Sweden,Smart Analytics,L,Consulting
Finland,Autonomous Tech,L,Finance
Japan,TechCorp Inc,M,Telecommunications
Israel,Autonomous Tech,S,Government
China,Future Systems,M,Healthcare
Netherlands,DeepTech Ventures,L,Government
United States,DataVision Ltd,M,Telecommunications
United States,DataVision Ltd,L,Finance
Finland,Quantum Computing Inc,L,Telecommunications
Singapore,AI Innovations,M,Retail
Netherlands,Future Systems,M,Media
United States,DeepTech Ventures,M,Media
India,Quantum Computing Inc,S,Manufacturing
China,TechCorp Inc,L,Energy
Switzerland,Cognitive Computing,S,Manufacturing
Austria,Autonomous Tech,M,Media
Germany,TechCorp Inc,S,Government
India,Autonomous Tech,M,Technology
United States,Cognitive Computing,S,Gaming
Norway,DataVision Ltd,S,Consulting
Israel,Quantum Computing Inc,S,Media
Canada,Autonomous Tech,L,Real Estate
India,Autonomous Tech,L,Automotive
Israel,Advanced Robotics,L,Finance
Germany,AI Innovations,M,Transportation
United Kingdom,TechCorp Inc,S,Media
China,Predictive Systems,M,Finance
Norway,Neural Networks Co,S,Finance
Switzerland,Smart Analytics,M,Education
Australia,Cloud AI Solutions,M,Technology
South Korea,Machine Intelligence Group,L,Manufacturing
Ireland,Machine Intelligence Group,S,Education
Israel,Advanced Robotics,L,Retail
Denmark,Digital Transformation LLC,M,Finance
Germany,Quantum Computing Inc,M,Gaming
France,Cognitive Computing,L,Technology
Israel,Neural Networks Co,M,Healthcare
France,Algorithmic Solutions,S,Real Estate
Norway,Cognitive Computing,S,Real Estate
United Kingdom,Machine Intelligence Group,S,Retail
Sweden,Digital Transformation LLC,S,Consulting
Singapore,DeepTech Ventures,M,Energy
Canada,Quantum Computing Inc,S,Energy
Israel,DataVision Ltd,M,Finance
India,Autonomous Tech,L,Technology
United States,TechCorp Inc,M,Consulting
France,Neural Networks Co,L,Manufacturing
Australia,TechCorp Inc,L,Gaming
Canada,Cognitive Computing,M,Energy
Sweden,TechCorp Inc,S,Automotive
Finland,TechCorp Inc,L,Telecommunications
Denmark,Machine Intelligence Group,M,Finance
Israel,Future Systems,S,Manufacturing
United States,Smart Analytics,S,Transportation
France,AI Innovations,M,Automotive
France,Digital Transformation LLC,L,Real Estate
Canada,Predictive Systems,S,Automotive
France,Algorithmic Solutions,S,Technology
Singapore,Neural Networks Co,S,Finance
United States,Predictive Systems,L,Real Estate
Canada,DeepTech Ventures,S,Education
Israel,Cognitive Computing,M,Manufacturing
France,Predictive Systems,S,Technology
Canada,Machine Intelligence Group,M,Real Estate
Switzerland,Smart Analytics,L,Retail
United States,Advanced Robotics,L,Transportation
Norway,Cognitive Computing,L,Consulting
Israel,Smart Analytics,L,Government
Netherlands,Algorithmic Solutions,M,Transportation
Sweden,Digital Transformation LLC,S,Real Estate
United Kingdom,Cloud AI Solutions,S,Healthcare
Japan,AI Innovations,S,Consulting
South Korea,TechCorp Inc,L,Automotive
