job_title,salary_usd,salary_currency,experience_level,employment_type,company_name,remote_ratio,education_required,years_experience,posting_date,application_deadline,job_description_length,benefits_score,employee_residence
AI Research Scientist,90376,USD,SE,CT,Smart Analytics,50,Bachelor,9,2024-10-18,2024-11-07,1076,5.9,China
AI Software Engineer,61895,USD,EN,CT,TechCorp Inc,100,Master,1,2024-11-20,2025-01-11,1268,5.2,Ireland
AI Specialist,152626,USD,MI,FL,Autonomous Tech,0,Associate,2,2025-03-18,2025-04-07,1974,9.4,South Korea
NLP Engineer,80215,USD,SE,FL,Future Systems,50,PhD,7,2024-12-23,2025-02-24,1345,8.6,India
AI Consultant,54624,EUR,EN,PT,Advanced Robotics,100,Master,0,2025-04-15,2025-06-23,1989,6.6,Singapore
AI Architect,123574,EUR,SE,CT,Neural Networks Co,50,Associate,7,2024-08-31,2024-10-04,819,5.9,Germany
Principal Data Scientist,79670,GBP,MI,FL,DataVision Ltd,0,Associate,3,2024-12-29,2025-02-28,1936,6.3,United Kingdom
NLP Engineer,70640,EUR,EN,FL,Cloud AI Solutions,0,Master,0,2024-06-07,2024-07-01,1286,7.6,France
Data Analyst,160710,USD,SE,CT,Quantum Computing Inc,0,PhD,7,2024-11-04,2024-11-24,551,9.3,Singapore
AI Software Engineer,102557,USD,SE,PT,Cloud AI Solutions,0,Master,5,2024-10-20,2024-11-06,2340,5.8,Austria
Autonomous Systems Engineer,102322,USD,SE,PT,Smart Analytics,100,Associate,8,2025-01-29,2025-03-05,1047,9.9,Sweden
AI Architect,115047,USD,EX,CT,TechCorp Inc,0,Master,15,2024-07-16,2024-08-19,513,6.8,South Korea
AI Consultant,124355,EUR,SE,CT,Predictive Systems,100,PhD,5,2024-12-29,2025-01-27,760,5.2,France
Autonomous Systems Engineer,68760,USD,EN,CT,Cloud AI Solutions,0,Master,0,2024-02-11,2024-02-25,1657,9.1,Norway
AI Research Scientist,150122,USD,SE,FT,Advanced Robotics,100,Associate,6,2024-10-02,2024-11-26,1466,9.8,Sweden
AI Product Manager,78846,GBP,EN,PT,DataVision Ltd,0,PhD,0,2024-09-28,2024-10-26,2059,9.6,Israel
Principal Data Scientist,59823,USD,EN,FT,Predictive Systems,100,Bachelor,1,2025-02-06,2025-03-26,1200,5.8,India
Machine Learning Engineer,181139,EUR,EX,CT,AI Innovations,100,Associate,15,2024-04-24,2024-06-03,2142,8.7,France
Data Engineer,155300,USD,SE,CT,Algorithmic Solutions,0,Associate,9,2024-04-30,2024-05-29,589,8.6,Singapore
Research Scientist,93851,EUR,MI,PT,AI Innovations,100,PhD,4,2024-05-01,2024-07-02,1809,6.7,Germany
Data Engineer,134197,USD,MI,FT,AI Innovations,0,Bachelor,3,2024-06-21,2024-08-28,969,9.6,France
Autonomous Systems Engineer,102550,USD,MI,PT,Cognitive Computing,0,Bachelor,2,2024-04-23,2024-06-23,625,10.0,United States
ML Ops Engineer,99382,EUR,SE,CT,Quantum Computing Inc,0,PhD,7,2025-03-13,2025-05-11,1629,6.9,Germany
AI Product Manager,52167,USD,MI,FT,Cloud AI Solutions,100,Master,4,2024-06-07,2024-06-24,2298,9.3,Ireland
ML Ops Engineer,53923,USD,MI,FT,AI Innovations,0,Bachelor,2,2024-10-27,2024-11-18,1006,7.4,China
Robotics Engineer,109779,USD,SE,PT,DataVision Ltd,100,PhD,6,2024-08-01,2024-10-02,1146,8.8,Israel
ML Ops Engineer,80979,USD,MI,CT,TechCorp Inc,50,Master,2,2024-11-18,2025-01-18,2109,7.7,India
Data Analyst,52997,USD,MI,PT,Predictive Systems,0,PhD,2,2025-01-10,2025-02-20,2101,8.6,Singapore
Head of AI,42819,USD,EN,CT,Cognitive Computing,50,PhD,0,2024-10-08,2024-11-20,2187,8.6,Ireland
ML Ops Engineer,82083,USD,MI,CT,Future Systems,100,Master,2,2024-01-18,2024-02-25,1212,6.3,Israel
Head of AI,67488,EUR,EN,FT,Advanced Robotics,100,Master,1,2024-05-16,2024-07-26,887,6.0,Netherlands
Research Scientist,68624,USD,EN,FT,Cloud AI Solutions,0,Master,1,2024-01-31,2024-03-08,1910,9.2,Denmark
Robotics Engineer,146852,USD,SE,FT,Cognitive Computing,50,PhD,7,2024-08-28,2024-09-20,684,5.3,Switzerland
ML Ops Engineer,178183,USD,EX,FL,Predictive Systems,0,Associate,16,2024-03-01,2024-03-19,1850,5.7,Finland
Deep Learning Engineer,150864,USD,SE,FL,Smart Analytics,0,PhD,8,2024-10-26,2024-12-25,1504,7.9,Singapore
Head of AI,126942,USD,EX,CT,Autonomous Tech,0,Associate,10,2024-01-31,2024-02-26,1261,9.9,Netherlands
AI Architect,53752,USD,MI,PT,TechCorp Inc,100,Associate,2,2024-10-17,2024-11-12,998,6.1,Japan
Robotics Engineer,111381,USD,EX,CT,Autonomous Tech,0,Master,18,2024-01-14,2024-03-12,1030,8.1,Israel
AI Specialist,41430,USD,EN,PT,Future Systems,50,Bachelor,1,2024-06-15,2024-07-29,2323,8.0,China
Data Engineer,166080,EUR,EX,FL,DeepTech Ventures,100,Associate,15,2024-03-01,2024-05-01,831,5.1,Netherlands
Data Scientist,96956,USD,MI,FT,DataVision Ltd,0,Bachelor,2,2024-02-24,2024-03-09,761,5.3,China
AI Architect,196954,USD,SE,FL,DataVision Ltd,50,Bachelor,8,2025-03-17,2025-04-16,2290,7.5,United States
AI Specialist,56745,USD,EN,PT,Quantum Computing Inc,100,Associate,1,2025-02-01,2025-04-11,502,5.5,Finland
Machine Learning Researcher,113455,USD,SE,FT,AI Innovations,50,Associate,8,2024-04-24,2024-06-12,1281,8.0,Singapore
ML Ops Engineer,158808,EUR,SE,PT,Future Systems,50,Bachelor,5,2025-03-03,2025-05-03,1926,7.4,Netherlands
AI Research Scientist,174663,USD,SE,CT,DeepTech Ventures,50,Associate,7,2024-01-10,2024-03-22,1151,5.4,Singapore
AI Research Scientist,46753,USD,EN,CT,Quantum Computing Inc,50,PhD,1,2024-11-16,2024-12-18,2012,9.7,India
AI Software Engineer,69020,USD,MI,FL,TechCorp Inc,0,Bachelor,4,2024-09-05,2024-10-25,1584,8.8,China
AI Specialist,288815,USD,EX,PT,Cognitive Computing,0,Bachelor,12,2024-08-08,2024-09-23,1930,7.2,Switzerland
AI Consultant,124871,USD,EX,FL,Autonomous Tech,50,PhD,19,2025-03-10,2025-05-17,1556,8.0,Finland
AI Architect,70391,EUR,MI,FT,TechCorp Inc,0,PhD,4,2024-08-16,2024-10-19,1974,9.2,Germany
Research Scientist,115376,USD,EX,FT,Autonomous Tech,100,Master,17,2024-03-12,2024-04-14,2028,5.5,India
Research Scientist,106579,USD,MI,PT,Cognitive Computing,100,Associate,3,2024-02-24,2024-05-02,2028,5.4,United States
Data Scientist,135230,USD,SE,PT,DataVision Ltd,100,PhD,8,2024-07-07,2024-09-09,1219,7.5,Norway
Research Scientist,67607,USD,MI,PT,Quantum Computing Inc,50,Master,4,2024-08-05,2024-08-26,1714,8.6,Israel
AI Architect,88470,USD,MI,PT,Autonomous Tech,0,Associate,3,2024-07-29,2024-09-27,1528,9.1,Canada
Autonomous Systems Engineer,79863,USD,MI,FL,Autonomous Tech,100,Associate,4,2024-09-28,2024-10-26,1325,5.6,India
Machine Learning Engineer,60299,USD,EN,PT,Advanced Robotics,100,PhD,0,2025-03-22,2025-05-01,1872,6.6,Israel
Machine Learning Engineer,85645,EUR,MI,FT,AI Innovations,0,Associate,4,2024-02-09,2024-03-06,793,7.9,Germany
AI Software Engineer,110222,GBP,SE,FL,TechCorp Inc,0,Associate,8,2024-03-20,2024-05-05,1945,9.0,France
Data Scientist,49365,USD,EN,FT,Predictive Systems,0,Associate,1,2024-06-22,2024-08-14,1907,10.0,China
Data Scientist,162296,USD,SE,PT,Neural Networks Co,50,Bachelor,6,2024-06-05,2024-07-01,1714,6.2,Norway
AI Consultant,102382,USD,MI,PT,Smart Analytics,0,PhD,3,2024-03-23,2024-06-03,2199,5.8,Switzerland
AI Software Engineer,99972,USD,MI,PT,Cloud AI Solutions,50,PhD,4,2024-02-20,2024-03-15,799,6.5,Canada
Data Engineer,64129,USD,EN,CT,Machine Intelligence Group,0,Bachelor,0,2024-12-15,2025-02-11,909,7.1,South Korea
AI Specialist,87938,USD,SE,FT,Machine Intelligence Group,100,PhD,8,2024-12-15,2025-02-12,508,8.1,Ireland
Autonomous Systems Engineer,71405,USD,MI,FL,Advanced Robotics,0,Associate,4,2024-09-01,2024-10-29,1153,9.5,Israel
Machine Learning Engineer,316182,USD,EX,PT,Digital Transformation LLC,0,Associate,12,2025-02-09,2025-02-23,2452,7.0,Canada
Machine Learning Researcher,72459,EUR,EN,PT,Quantum Computing Inc,100,Bachelor,0,2024-08-30,2024-09-15,583,9.6,Germany
Principal Data Scientist,78338,EUR,MI,FT,Cognitive Computing,100,Associate,3,2024-10-31,2024-12-15,548,8.7,France
NLP Engineer,51907,USD,MI,FL,Neural Networks Co,100,Bachelor,4,2024-02-14,2024-04-02,912,8.2,Singapore
Autonomous Systems Engineer,122831,EUR,SE,FL,Algorithmic Solutions,100,Master,7,2024-05-31,2024-06-19,761,8.4,France
Machine Learning Researcher,124820,USD,MI,FL,Cognitive Computing,50,Associate,3,2024-08-02,2024-10-01,2077,9.9,Norway
Autonomous Systems Engineer,134200,GBP,SE,PT,Machine Intelligence Group,50,PhD,9,2024-11-29,2025-01-09,2396,7.8,United Kingdom
Data Engineer,51920,USD,EN,PT,Digital Transformation LLC,100,PhD,0,2025-04-08,2025-05-13,1778,7.9,Finland
Data Engineer,56427,USD,EN,FL,DeepTech Ventures,100,Master,0,2024-11-16,2025-01-25,1366,5.2,Singapore
AI Product Manager,213783,USD,EX,FT,Quantum Computing Inc,100,Bachelor,16,2024-09-19,2024-10-06,2383,9.2,Canada
