show_id,genre_id
n1,1
n2,2
n3,3
n4,1
n5,2
n6,4
n7,5
n8,4
n9,2
n10,6
n11,3
n12,3
n13,4
n14,5
n15,2
n16,6
n17,1
n18,3
n19,3
n20,2
n21,3
n22,2
n23,6
n24,5
n25,6
n26,1
n27,6
n28,6
n29,7
n30,3
n31,4
n32,6
n33,2
n34,2
n35,8
n36,4
n37,3
n38,8
n39,3
n40,8
n41,8
n42,3
n43,4
n44,3
n45,3
n46,1
n47,3
n48,2
n49,4
n50,2
n51,2
n52,3
n53,3
n54,3
n55,3
n56,9
n57,3
n58,3
n59,3
n60,3
n61,3
n62,3
n63,3
n64,3
n65,5
n66,8
n67,1
n68,8
n69,1
n70,2
n71,2
n72,5
n73,2
n74,4
n75,9
n76,5
n77,10
n78,5
n79,6
n80,6
n81,5
n82,3
n83,3
n84,9
n85,3
n86,10
n87,2
n88,8
n89,1
n90,8
n91,10
n92,1
n93,2
n94,4
n95,5
n96,9
n97,1
n98,8
n99,2
n100,6
n101,8
n102,1
n103,1
n104,4
n105,8
n106,3
n107,8
n108,5
n109,8
n110,3
n111,1
n112,8
n113,4
n114,6
n115,4
n116,4
n117,6
n118,1
n119,4
n120,4
n121,8
n122,2
n123,3
n124,8
n125,8
n126,3
n127,4
n128,5
n129,4
n130,4
n131,5
n132,3
n133,2
n134,3
n135,3
n136,3
n137,4
n138,3
n139,4
n140,4
n141,4
n142,3
n143,4
n144,3
n145,6
n146,6
n147,6
n148,9
n149,11
n150,3
n151,3
n152,3
n153,6
n154,8
n155,10
n156,3
n157,6
n158,10
n159,6
n160,6
n161,6
n162,6
n163,4
n164,6
n165,3
n166,3
n167,4
n168,5
n169,3
n170,3
n171,1
n172,4
n173,6
n174,1
n175,3
n176,4
n177,3
n178,3
n179,3
n180,6
n181,6
n182,1
n183,6
n184,3
n185,9
n186,1
n187,2
n188,2
n189,6
n190,8
n191,4
n192,4
n193,3
n194,2
n195,2
n196,6
n197,6
n198,8
n199,3
n200,6
n201,3
n202,4
n203,6
n204,6
n205,6
n206,6
n207,4
n208,3
n209,4
n210,4
n211,7
n212,7
n213,2
n214,1
n215,3
n216,3
n217,6
n218,6
n219,9
n220,10
n221,8
n222,1
n223,3
n224,3
n225,2
n226,2
n227,2
n228,4
n229,3
n230,7
n231,1
n232,5
n233,9
n234,1
n235,8
n236,1
