Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Total, all occupations;"=""00-0000""";Summary;12,939.5;100.0;7.7;13,049.5;100.0;7.5;110.0;0.8;;0;National_Employment_Matrix_IND_31-330.csv;;;;
Management occupations;"=""11-0000""";Summary;857.7;6.6;6.5;889.8;6.8;6.3;32.0;3.7;2.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Top executives;"=""11-1000""";Summary;273.6;2.1;6.9;279.5;2.1;6.6;5.8;2.1;3.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Chief executives;"=""11-1011""";Line Item;12.7;0.1;4.0;13.1;0.1;4.0;0.4;3.2;4.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
General and operations managers;"=""11-1021""";Line Item;260.9;2.0;7.2;266.4;2.0;6.9;5.4;2.1;5.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Advertising, marketing, promotions, public relations, and sales managers;"=""11-2000""";Summary;94.0;0.7;8.4;97.5;0.7;8.2;3.5;3.7;7.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Advertising and promotions managers;"=""11-2011""";Line Item;0.5;0.0;2.3;0.5;0.0;2.1;-0.1;-13.0;8.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Marketing and sales managers;"=""11-2020""";Summary;91.6;0.7;9.4;95.1;0.7;9.1;3.5;3.8;9.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Marketing managers;"=""11-2021""";Line Item;29.6;0.2;7.6;30.9;0.2;7.3;1.3;4.5;10.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Sales managers;"=""11-2022""";Line Item;62.0;0.5;10.6;64.2;0.5;10.4;2.2;3.5;11.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Public relations and fundraising managers;"=""11-2030""";Summary;1.9;0.0;1.6;2.0;0.0;1.6;0.1;4.8;12.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Public relations managers;"=""11-2032""";Line Item;1.8;0.0;2.4;1.9;0.0;2.3;0.1;4.8;13.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Operations specialties managers;"=""11-3000""";Summary;356.0;2.8;13.5;372.8;2.9;12.6;16.8;4.7;15.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Administrative services and facilities managers;"=""11-3010""";Summary;27.5;0.2;6.9;28.2;0.2;6.7;0.7;2.7;16.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Administrative services managers;"=""11-3012""";Line Item;11.6;0.1;4.5;11.9;0.1;4.4;0.3;2.6;17.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Facilities managers;"=""11-3013""";Line Item;15.9;0.1;11.3;16.3;0.1;11.0;0.4;2.7;18.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Computer and information systems managers;"=""11-3021""";Line Item;41.9;0.3;6.8;46.5;0.4;6.5;4.5;10.8;19.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Financial managers;"=""11-3031""";Line Item;48.4;0.4;5.8;54.7;0.4;5.6;6.3;13.1;20.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Industrial production managers;"=""11-3051""";Line Item;168.9;1.3;73.4;172.1;1.3;72.7;3.2;1.9;21.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Purchasing managers;"=""11-3061""";Line Item;20.3;0.2;25.0;20.8;0.2;24.4;0.5;2.5;22.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Transportation, storage, and distribution managers;"=""11-3071""";Line Item;25.1;0.2;11.8;26.0;0.2;11.3;0.9;3.7;23.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Compensation and benefits managers;"=""11-3111""";Line Item;0.9;0.0;4.8;0.9;0.0;4.6;0.0;-1.7;24.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Human resources managers;"=""11-3121""";Line Item;20.4;0.2;9.8;21.0;0.2;9.4;0.6;2.7;25.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Training and development managers;"=""11-3131""";Line Item;2.5;0.0;5.8;2.6;0.0;5.6;0.1;3.7;26.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Other management occupations;"=""11-9000""";Summary;134.2;1.0;2.5;140.0;1.1;2.4;5.8;4.3;27.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Farmers, ranchers, and other agricultural managers;"=""11-9013""";Line Item;0.3;0.0;0.0;0.4;0.0;0.0;0.0;15.2;28.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Construction managers;"=""11-9021""";Line Item;2.3;0.0;0.4;2.5;0.0;0.4;0.2;8.2;29.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Architectural and engineering managers;"=""11-9041""";Line Item;75.0;0.6;35.7;77.8;0.6;35.1;2.7;3.6;35.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Food service managers;"=""11-9051""";Line Item;0.9;0.0;0.2;1.1;0.0;0.3;0.2;20.1;36.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Medical and health services managers;"=""11-9111""";Line Item;2.0;0.0;0.4;2.5;0.0;0.3;0.5;26.8;41.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
