tot_emp;h_mean;a_mean;sector
154.187.380;3266;67.920;Cross-industry
10.966.830;6815;141.760;Cross-industry
3.822.780;6724;139.860;Cross-industry
211.850;12641;262.930;Cross-industry
211.850;12641;262.930;Cross-industry
3.584.420;6400;133.120;Cross-industry
3.584.420;6400;133.120;Cross-industry
26.510;*;67.390;Cross-industry
26.510;*;67.390;Cross-industry
1.122.770;7872;163.740;Cross-industry
21.100;7176;149.270;Cross-industry
21.100;7176;149.270;Cross-industry
988.680;7935;165.050;Cross-industry
384.980;8246;171.520;Cross-industry
603.710;7737;160.930;Cross-industry
112.980;7449;154.950;Cross-industry
76.060;7861;163.520;Cross-industry
36.920;6601;137.290;Cross-industry
2.669.000;7721;160.590;Cross-industry
395.230;5862;121.920;Cross-industry
254.140;6059;126.030;Cross-industry
141.090;5506;114.520;Cross-industry
645.970;9038;187.990;Cross-industry
645.970;9038;187.990;Cross-industry
818.620;8676;180.470;Cross-industry
818.620;8676;180.470;Cross-industry
234.380;6211;129.180;Cross-industry
234.380;6211;129.180;Cross-industry
81.240;7242;150.630;Cross-industry
81.240;7242;150.630;Cross-industry
213.000;5577;116.010;Cross-industry
213.000;5577;116.010;Cross-industry
20.070;7511;156.230;Cross-industry
20.070;7511;156.230;Cross-industry
215.520;7715;160.480;Cross-industry
215.520;7715;160.480;Cross-industry
44.960;6759;140.590;Cross-industry
44.960;6759;140.590;Cross-industry
3.352.280;5844;121.560;Cross-industry
5.910;4675;97.240;Cross-industry
5.910;4675;97.240;Cross-industry
348.330;5753;119.660;Cross-industry
348.330;5753;119.660;Cross-industry
621.000;5263;109.470;Cross-industry
71.620;3012;62.640;Cross-industry
319.630;*;113.360;Cross-industry
176.420;5983;124.450;Cross-industry
53.330;4782;99.460;Cross-industry
210.340;8448;175.710;Cross-industry
210.340;8448;175.710;Cross-industry
244.230;3479;72.370;Cross-industry
244.230;3479;72.370;Cross-industry
41.320;4268;88.780;Cross-industry
4.620;4927;102.480;Cross-industry
36.700;4186;87.060;Cross-industry
41.350;3724;77.460;Cross-industry
41.350;3724;77.460;Cross-industry
565.840;6622;137.730;Cross-industry
565.840;6622;137.730;Cross-industry
100.870;8341;173.500;Cross-industry
100.870;8341;173.500;Cross-industry
13.810;4508;93.760;Cross-industry
13.810;4508;93.760;Cross-industry
296.640;3977;82.720;Cross-industry
296.640;3977;82.720;Cross-industry
195.490;4139;86.100;Cross-industry
195.490;4139;86.100;Cross-industry
12.570;4697;97.700;Cross-industry
12.570;4697;97.700;Cross-industry
23.610;3797;78.970;Cross-industry
13.120;4118;85.650;Cross-industry
10.490;3395;70.620;Cross-industry
630.980;7206;149.890;Cross-industry
630.980;7206;149.890;Cross-industry
10.351.440;4504;93.680;Cross-industry
7.318.320;4376;91.020;Cross-industry
14.220;7962;165.600;Cross-industry
14.220;7962;165.600;Cross-industry
486.900;3929;81.720;Cross-industry
486.900;3929;81.720;Cross-industry
312.810;3785;78.720;Cross-industry
305.020;3787;78.770;Cross-industry
7.790;3704;77.050;Cross-industry
397.770;4086;84.980;Cross-industry
397.770;4086;84.980;Cross-industry
219.530;3998;83.160;Cross-industry
219.530;3998;83.160;Cross-industry
982.460;3888;80.860;Cross-industry
917.460;3833;79.730;Cross-industry
410;2496;51.910;Cross-industry
64.590;4670;97.130;Cross-industry
1.241.800;5010;104.210;Cross-industry
235.640;4212;87.600;Cross-industry
1.006.160;5197;108.100;Cross-industry
893.900;5515;114.710;Cross-industry
893.900;5515;114.710;Cross-industry
134.670;3129;65.090;Cross-industry
134.670;3129;65.090;Cross-industry
105.930;3516;73.130;Cross-industry
105.930;3516;73.130;Cross-industry
102.370;3986;82.920;Cross-industry
102.370;3986;82.920;Cross-industry
436.610;3546;73.760;Cross-industry
436.610;3546;73.760;Cross-industry
861.140;4158;86.480;Cross-industry
861.140;4158;86.480;Cross-industry
1.128.200;4441;92.380;Cross-industry
1.128.200;4441;92.380;Cross-industry
3.033.120;4812;100.090;Cross-industry
1.448.290;4496;93.520;Cross-industry
1.448.290;4496;93.520;Cross-industry
59.070;3710;77.160;Cross-industry
59.070;3710;77.160;Cross-industry
47.170;4515;93.920;Cross-industry
47.170;4515;93.920;Cross-industry
67.370;4714;98.040;Cross-industry
67.370;4714;98.040;Cross-industry
775.200;6174;128.420;Cross-industry
