client_id,backward_count,total_transitions,error_rate,clnt_age,Variation
555,0,4.0,0.0,29.5,Test
647,0,4.0,0.0,57.5,Test
934,3,3.0,1.0,51.0,Test
1028,4,8.0,0.5,36.0,Control
1104,0,0.0,0.0,48.0,Control
1186,0,2.0,0.0,22.0,Control
1195,0,4.0,0.0,54.5,Control
1197,1,6.0,0.16666666666666666,28.5,Control
1336,1,5.0,0.2,42.0,Test
1346,4,9.0,0.4444444444444444,46.0,Test
1368,0,0.0,0.0,45.0,Control
1516,6,14.0,0.42857142857142855,58.5,Test
1643,2,7.0,0.2857142857142857,55.0,Test
1702,0,0.0,0.0,62.5,Test
1755,0,7.0,0.0,46.5,Test
1836,2,9.0,0.2222222222222222,51.5,Test
1936,4,9.0,0.4444444444444444,26.5,Test
2439,0,0.0,0.0,56.0,Control
2581,0,0.0,0.0,22.0,Control
2720,2,2.0,1.0,25.0,Test
3232,0,4.0,0.0,52.0,Test
3572,0,4.0,0.0,54.5,Test
3647,1,4.0,0.25,63.0,Control
3743,0,4.0,0.0,30.0,Control
4369,0,4.0,0.0,70.5,Test
4484,2,6.0,0.3333333333333333,48.5,Test
4603,0,4.0,0.0,38.5,Test
4717,1,8.0,0.125,58.0,Test
4870,0,4.0,0.0,26.5,Test
5354,0,5.0,0.0,50.5,Control
5845,1,7.0,0.14285714285714285,76.0,Test
6022,1,2.0,0.5,30.0,Test
6150,0,0.0,0.0,67.0,Test
6642,0,4.0,0.0,35.5,Control
6904,0,4.0,0.0,64.5,Test
6977,1,5.0,0.2,53.0,Control
6985,1,5.0,0.2,61.5,Control
7020,3,10.0,0.3,41.5,Control
7561,1,4.0,0.25,33.0,Test
7563,0,4.0,0.0,29.5,Test
7567,1,5.0,0.2,33.0,Control
7657,1,6.0,0.16666666666666666,41.5,Test
7723,0,4.0,0.0,54.5,Test
7934,1,2.0,0.5,44.0,Test
8023,0,1.0,0.0,50.0,Test
8039,0,3.0,0.0,58.0,Control
8055,0,4.0,0.0,55.5,Test
8101,0,4.0,0.0,70.5,Control
8124,0,0.0,0.0,42.0,Control
8610,1,1.0,1.0,27.0,Test
8712,1,5.0,0.2,38.0,Test
8820,0,4.0,0.0,25.5,Test
9229,3,7.0,0.42857142857142855,42.0,Control
9751,3,6.0,0.5,36.0,Test
9767,1,8.0,0.125,34.0,Control
9845,0,0.0,0.0,25.0,Control
9916,0,3.0,0.0,40.5,Test
10344,4,4.0,1.0,82.0,Control
10363,0,1.0,0.0,26.0,Test
11040,0,4.0,0.0,31.5,Test
