"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","14,366.2","100.0","8.6","14,466.7","100.0","8.3","100.5","0.7","","0"
"Management occupations","=""11-0000""","Summary","895.4","6.2","6.8","916.5","6.3","6.5","21.1","2.4","2","1"
"Top executives","=""11-1000""","Summary","92.5","0.6","2.3","94.6","0.7","2.2","2.1","2.3","3","2"
"Chief executives","=""11-1011""","Line Item","16.3","0.1","5.2","16.4","0.1","5.0","0.1","0.7","4","3"
"General and operations managers","=""11-1021""","Line Item","76.2","0.5","2.1","78.2","0.5","2.0","2.0","2.6","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","36.2","0.3","3.3","37.0","0.3","3.1","0.8","2.3","7","2"
"Advertising and promotions managers","=""11-2011""","Line Item","0.4","0.0","2.0","0.4","0.0","1.8","-0.1","-12.4","8","3"
"Marketing and sales managers","=""11-2020""","Summary","13.3","0.1","1.4","13.7","0.1","1.3","0.4","2.8","9","3"
"Marketing managers","=""11-2021""","Line Item","10.5","0.1","2.7","10.8","0.1","2.6","0.3","2.7","10","4"
"Sales managers","=""11-2022""","Line Item","2.7","0.0","0.5","2.8","0.0","0.5","0.1","3.2","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","22.5","0.2","19.3","23.0","0.2","18.5","0.5","2.3","12","3"
"Public relations managers","=""11-2032""","Line Item","10.4","0.1","13.2","10.6","0.1","12.7","0.3","2.5","13","4"
"Fundraising managers","=""11-2033""","Line Item","12.1","0.1","31.7","12.4","0.1","30.5","0.3","2.1","14","4"
"Operations specialties managers","=""11-3000""","Summary","143.2","1.0","5.4","152.0","1.1","5.1","8.8","6.2","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","48.3","0.3","12.2","49.3","0.3","11.7","1.0","2.1","16","3"
"Administrative services managers","=""11-3012""","Line Item","29.3","0.2","11.4","30.0","0.2","11.0","0.7","2.4","17","4"
"Facilities managers","=""11-3013""","Line Item","19.0","0.1","13.6","19.4","0.1","13.1","0.3","1.6","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","33.3","0.2","5.4","36.5","0.3","5.1","3.2","9.5","19","3"
