"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","12,939.5","100.0","7.7","13,049.5","100.0","7.5","110.0","0.8","","0"
"Management occupations","=""11-0000""","Summary","857.7","6.6","6.5","889.8","6.8","6.3","32.0","3.7","2","1"
"Top executives","=""11-1000""","Summary","273.6","2.1","6.9","279.5","2.1","6.6","5.8","2.1","3","2"
"Chief executives","=""11-1011""","Line Item","12.7","0.1","4.0","13.1","0.1","4.0","0.4","3.2","4","3"
"General and operations managers","=""11-1021""","Line Item","260.9","2.0","7.2","266.4","2.0","6.9","5.4","2.1","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","94.0","0.7","8.4","97.5","0.7","8.2","3.5","3.7","7","2"
"Advertising and promotions managers","=""11-2011""","Line Item","0.5","0.0","2.3","0.5","0.0","2.1","-0.1","-13.0","8","3"
"Marketing and sales managers","=""11-2020""","Summary","91.6","0.7","9.4","95.1","0.7","9.1","3.5","3.8","9","3"
"Marketing managers","=""11-2021""","Line Item","29.6","0.2","7.6","30.9","0.2","7.3","1.3","4.5","10","4"
"Sales managers","=""11-2022""","Line Item","62.0","0.5","10.6","64.2","0.5","10.4","2.2","3.5","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","1.9","0.0","1.6","2.0","0.0","1.6","0.1","4.8","12","3"
"Public relations managers","=""11-2032""","Line Item","1.8","0.0","2.4","1.9","0.0","2.3","0.1","4.8","13","4"
"Operations specialties managers","=""11-3000""","Summary","356.0","2.8","13.5","372.8","2.9","12.6","16.8","4.7","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","27.5","0.2","6.9","28.2","0.2","6.7","0.7","2.7","16","3"
"Administrative services managers","=""11-3012""","Line Item","11.6","0.1","4.5","11.9","0.1","4.4","0.3","2.6","17","4"
"Facilities managers","=""11-3013""","Line Item","15.9","0.1","11.3","16.3","0.1","11.0","0.4","2.7","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","41.9","0.3","6.8","46.5","0.4","6.5","4.5","10.8","19","3"
"Financial managers","=""11-3031""","Line Item","48.4","0.4","5.8","54.7","0.4","5.6","6.3","13.1","20","3"
"Industrial production managers","=""11-3051""","Line Item","168.9","1.3","73.4","172.1","1.3","72.7","3.2","1.9","21","3"
"Purchasing managers","=""11-3061""","Line Item","20.3","0.2","25.0","20.8","0.2","24.4","0.5","2.5","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","25.1","0.2","11.8","26.0","0.2","11.3","0.9","3.7","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","0.9","0.0","4.8","0.9","0.0","4.6","0.0","-1.7","24","3"
"Human resources managers","=""11-3121""","Line Item","20.4","0.2","9.8","21.0","0.2","9.4","0.6","2.7","25","3"
"Training and development managers","=""11-3131""","Line Item","2.5","0.0","5.8","2.6","0.0","5.6","0.1","3.7","26","3"
"Other management occupations","=""11-9000""","Summary","134.2","1.0","2.5","140.0","1.1","2.4","5.8","4.3","27","2"
"Farmers, ranchers, and other agricultural managers","=""11-9013""","Line Item","0.3","0.0","0.0","0.4","0.0","0.0","0.0","15.2","28","3"
"Construction managers","=""11-9021""","Line Item","2.3","0.0","0.4","2.5","0.0","0.4","0.2","8.2","29","3"
"Architectural and engineering managers","=""11-9041""","Line Item","75.0","0.6","35.7","77.8","0.6","35.1","2.7","3.6","35","3"
"Food service managers","=""11-9051""","Line Item","0.9","0.0","0.2","1.1","0.0","0.3","0.2","20.1","36","3"
"Medical and health services managers","=""11-9111""","Line Item","2.0","0.0","0.4","2.5","0.0","0.3","0.5","26.8","41","3"
"Natural sciences managers","=""11-9121""","Line Item","7.9","0.1","7.9","8.3","0.1","7.7","0.4","5.5","42","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","4.3","44","3"
"Emergency management directors","=""11-9161""","Line Item","0.3","0.0","2.1","0.3","0.0","2.0","0.0","-0.2","46","3"
"Personal service managers","=""11-9170""","Summary","0.1","0.0","0.2","0.1","0.0","0.2","0.0","6.0","47","3"
"Managers, all other","=""11-9199""","Line Item","45.0","0.3","3.5","46.7","0.4","3.4","1.7","3.7","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","655.6","5.1","6.0","686.1","5.3","5.8","30.6","4.7","51","1"
"Business operations specialists","=""13-1000""","Summary","537.9","4.2","7.0","565.4","4.3","6.9","27.5","5.1","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","114.7","0.9","21.9","123.6","0.9","22.0","8.8","7.7","54","3"
"Claims adjusters, appraisers, examiners, and investigators","=""13-1030""","Summary","0.1","0.0","0.0","0.0","0.0","0.0","0.0","-7.3","55","3"
"Claims adjusters, examiners, and investigators","=""13-1031""","Line Item","0.1","0.0","0.0","0.0","0.0","0.0","0.0","-7.3","56","4"
"Compliance officers","=""13-1041""","Line Item","20.8","0.2","5.1","21.8","0.2","5.1","1.0","4.9","58","3"
"Cost estimators","=""13-1051""","Line Item","26.4","0.2","11.6","24.6","0.2","11.2","-1.8","-6.9","59","3"
"Human resources workers","=""13-1070""","Summary","67.6","0.5","6.8","69.0","0.5","6.4","1.4","2.1","60","3"
"Human resources specialists","=""13-1071""","Line Item","66.7","0.5","7.1","68.1","0.5","6.8","1.4","2.1","61","4"
"Labor relations specialists","=""13-1075""","Line Item","0.9","0.0","1.3","0.9","0.0","1.3","0.0","0.6","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","129.3","1.0","10.7","139.6","1.1","10.5","10.3","7.9","64","3"
"Logisticians","=""13-1081""","Line Item","54.4","0.4","23.0","62.7","0.5","22.2","8.3","15.3","65","4"
"Project management specialists","=""13-1082""","Line Item","74.9","0.6","7.7","76.8","0.6","7.4","2.0","2.6","66","4"
"Management analysts","=""13-1111""","Line Item","20.1","0.2","2.0","20.7","0.2","1.8","0.6","2.8","67","3"
"Meeting, convention, and event planners","=""13-1121""","Line Item","2.8","0.0","1.9","3.3","0.0","2.1","0.5","16.3","68","3"
"Fundraisers","=""13-1131""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","7.4","69","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","3.7","0.0","3.6","3.8","0.0","3.4","0.1","3.1","70","3"
