"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","1,660.1","100.0","1.0","1,735.1","100.0","1.0","75.0","4.5","","0"
"Management occupations","=""11-0000""","Summary","175.3","10.6","1.3","186.3","10.7","1.3","11.0","6.3","2","1"
"Top executives","=""11-1000""","Summary","58.4","3.5","1.5","61.5","3.5","1.5","3.0","5.2","3","2"
"Chief executives","=""11-1011""","Line Item","3.0","0.2","1.0","3.2","0.2","1.0","0.2","5.3","4","3"
"General and operations managers","=""11-1021""","Line Item","55.4","3.3","1.5","58.3","3.4","1.5","2.9","5.2","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","11.2","0.7","1.0","11.8","0.7","1.0","0.6","5.1","7","2"
"Marketing and sales managers","=""11-2020""","Summary","10.7","0.6","1.1","11.3","0.7","1.1","0.6","5.2","9","3"
"Marketing managers","=""11-2021""","Line Item","5.8","0.3","1.5","6.1","0.4","1.4","0.3","5.0","10","4"
"Sales managers","=""11-2022""","Line Item","4.9","0.3","0.8","5.2","0.3","0.8","0.3","5.4","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","0.5","0.0","0.4","0.5","0.0","0.4","0.0","5.2","12","3"
"Public relations managers","=""11-2032""","Line Item","0.4","0.0","0.6","0.5","0.0","0.5","0.0","5.3","13","4"
"Operations specialties managers","=""11-3000""","Summary","27.9","1.7","1.1","30.7","1.8","1.0","2.8","9.9","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","4.2","0.3","1.1","4.4","0.3","1.1","0.2","5.3","16","3"
"Administrative services managers","=""11-3012""","Line Item","3.4","0.2","1.3","3.5","0.2","1.3","0.2","5.2","17","4"
"Facilities managers","=""11-3013""","Line Item","0.8","0.1","0.6","0.9","0.1","0.6","0.0","5.4","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","8.2","0.5","1.3","9.2","0.5","1.3","1.0","12.8","19","3"
"Financial managers","=""11-3031""","Line Item","6.6","0.4","0.8","7.6","0.4","0.8","1.0","15.7","20","3"
"Industrial production managers","=""11-3051""","Line Item","3.2","0.2","1.4","3.4","0.2","1.4","0.2","5.4","21","3"
"Purchasing managers","=""11-3061""","Line Item","1.4","0.1","1.8","1.5","0.1","1.8","0.1","5.4","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","1.2","0.1","0.6","1.3","0.1","0.5","0.1","5.5","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","0.1","24","3"
"Human resources managers","=""11-3121""","Line Item","2.8","0.2","1.3","2.9","0.2","1.3","0.1","5.3","25","3"
"Training and development managers","=""11-3131""","Line Item","0.2","0.0","0.6","0.3","0.0","0.5","0.0","5.4","26","3"
"Other management occupations","=""11-9000""","Summary","77.7","4.7","1.4","82.3","4.7","1.4","4.6","5.9","27","2"
"Construction managers","=""11-9021""","Line Item","10.0","0.6","1.9","11.0","0.6","1.9","1.0","10.4","29","3"
"Education and childcare administrators","=""11-9030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.8","30","3"
"Education administrators, all other","=""11-9039""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","4.8","34","4"
"Architectural and engineering managers","=""11-9041""","Line Item","54.9","3.3","26.1","57.7","3.3","26.0","2.8","5.1","35","3"
"Medical and health services managers","=""11-9111""","Line Item","0.2","0.0","0.0","0.3","0.0","0.0","0.1","26.4","41","3"
"Natural sciences managers","=""11-9121""","Line Item","3.3","0.2","3.3","3.5","0.2","3.3","0.2","5.4","42","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.3","0.0","0.1","0.3","0.0","0.1","0.0","5.4","44","3"
"Managers, all other","=""11-9199""","Line Item","8.8","0.5","0.7","9.3","0.5","0.7","0.5","5.2","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","196.9","11.9","1.8","208.1","12.0","1.8","11.2","5.7","51","1"
"Business operations specialists","=""13-1000""","Summary","170.9","10.3","2.2","180.8","10.4","2.2","9.9","5.8","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","6.9","0.4","1.3","7.7","0.4","1.4","0.7","10.7","54","3"
"Claims adjusters, appraisers, examiners, and investigators","=""13-1030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-5.3","55","3"
"Claims adjusters, examiners, and investigators","=""13-1031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-5.3","56","4"
"Compliance officers","=""13-1041""","Line Item","4.3","0.3","1.1","4.5","0.3","1.1","0.2","5.1","58","3"
"Cost estimators","=""13-1051""","Line Item","4.6","0.3","2.0","4.5","0.3","2.0","-0.1","-3.1","59","3"
"Human resources workers","=""13-1070""","Summary","12.6","0.8","1.3","13.3","0.8","1.2","0.7","5.3","60","3"
"Human resources specialists","=""13-1071""","Line Item","12.5","0.8","1.3","13.2","0.8","1.3","0.7","5.3","61","4"
"Labor relations specialists","=""13-1075""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","3.4","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","94.1","5.7","7.8","99.8","5.8","7.5","5.7","6.1","64","3"
"Logisticians","=""13-1081""","Line Item","7.5","0.4","3.1","8.8","0.5","3.1","1.4","18.2","65","4"
