"Industry Title","Industry Code","Industry Type","2023 Employment","2023 Percent of Occupation","2023 Percent of Industry","Projected 2033 Employment","Projected 2033 Percent of Occupation","Projected 2033 Percent of Industry","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Industry Sort","Display Level"
"Total employment","=""TE1000""","Summary","86.8","100.0","0.1","89.6","100.0","0.1","2.8","3.2","","0"
"Self-employed workers","=""TE1100""","Line Item","3.5","4.0","0.0","4.9","5.5","0.1","1.4","41.5","2","1"
"Total wage and salary employment","=""TE1200""","Summary","83.3","96.0","0.1","84.7","94.5","0.1","1.3","1.6","3","1"
"Healthcare and social assistance","=""620000""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","15.2","344","2"
"Arts, entertainment, and recreation","=""710000""","Summary","25.0","28.8","1.0","22.9","25.5","0.9","-2.1","-8.4","389","2"
"Performing arts, spectator sports, and related industries","=""711000""","Summary","1.9","2.2","0.3","2.0","2.3","0.3","0.1","6.1","390","3"
"Spectator sports","=""711200""","Line Item","1.7","2.0","0.9","1.8","2.0","0.9","0.1","5.3","394","4"
"Promoters of performing arts and sports, and agents for public figures","=""7113-4""","Summary","0.2","0.2","0.1","0.2","0.2","0.1","0.0","13.9","395","4"
"Promoters of performing arts, sports, and similar events","=""711300""","Line Item","0.2","0.2","0.1","0.2","0.2","0.1","0.0","13.9","396","5"
"Amusement, gambling, and recreation industries","=""713000""","Summary","23.1","26.5","1.3","20.8","23.2","1.1","-2.2","-9.6","400","3"
"Gambling industries (except casino hotels)","=""713200""","Line Item","22.7","26.1","19.4","20.4","22.8","19.8","-2.2","-9.9","402","4"
"Other amusement and recreation industries","=""713900""","Summary","0.3","0.4","0.0","0.4","0.4","0.0","0.0","7.4","403","4"
"Accommodation and food services","=""720000""","Summary","31.4","36.1","0.2","33.5","37.3","0.2","2.1","6.7","406","2"
"Accommodation","=""721000""","Summary","31.4","36.1","1.7","33.5","37.3","1.7","2.1","6.7","407","3"
"Traveler accommodation","=""721100""","Summary","31.4","36.1","1.7","33.5","37.3","1.7","2.1","6.7","408","4"
"Casino hotels","=""721120""","Line Item","31.4","36.1","13.1","33.5","37.3","13.3","2.1","6.7","409","5"
"Other services (except public administration)","=""810000""","Summary","1.2","1.4","0.0","1.3","1.5","0.0","0.2","13.2","419","2"
"Personal and laundry services","=""812000""","Summary","0.7","0.8","0.0","0.8","0.9","0.0","0.1","17.4","428","3"
"Other personal services","=""812900""","Line Item","0.7","0.8","0.2","0.8","0.9","0.2","0.1","17.4","432","4"
"Religious, grantmaking, civic, professional, and similar organizations","=""813000""","Summary","0.5","0.6","0.0","0.5","0.6","0.0","0.0","7.3","433","3"
"Civic, social, professional, and similar organizations","=""8134-9""","Summary","0.4","0.4","0.0","0.4","0.4","0.0","0.0","7.3","438","4"
"Civic and social organizations","=""813400""","Line Item","0.4","0.4","0.1","0.4","0.4","0.1","0.0","7.3","439","5"
"Government","=""900000""","Summary","23.3","26.8","0.2","24.3","27.1","0.2","1.0","4.2","444","2"
"Local government, excluding education and hospitals","=""999300""","Line Item","23.3","26.8","0.4","24.3","27.1","0.4","1.0","4.2","450","4"
